MM_42,5,2,8
MM_42,5,3,1
MM_42,5,4,29
MM_42,5,5,14
MM_47,3,1,16
MM_47,3,2,19
MM_47,3,3,11
MM_50,3,1,50
MM_50,3,2,19
MM_50,3,3,23
MM_52,4,1,82
MM_52,4,2,16
MM_52,4,3,26
MM_52,4,4,6
MM_56,5,1,21
MM_56,5,2,24
MM_56,5,3,49
MM_56,5,4,12
MM_56,5,5,74
MM_59,3,1,81
MM_59,3,2,25
MM_59,3,3,18
MM_60,4,1,75
MM_60,4,2,10
MM_60,4,3,55
MM_60,4,4,39
MM_63,3,1,36
MM_63,3,2,20
MM_63,3,3,57
MM_65,4,1,19
MM_65,4,2,8
MM_65,4,3,31
MM_65,4,4,9
MM_69,4,1,60
MM_69,4,2,35
MM_69,4,3,76
MM_69,4,4,13
MM_70,3,1,8
MM_70,3,2,3
MM_70,3,3,27
AK_9,4,1,9
AK_9,4,2,4
AK_9,4,3,13
AK_9,4,4,17
AK_18,4,1,6
AK_18,4,2,89
AK_18,4,3,14
AK_18,4,4,7
AK_19,4,1,2
AK_19,4,2,5
AK_19,4,3,9
AK_19,4,4,3
AK_23,3,1,22
AK_23,3,2,7
AK_23,3,3,8
AK_31,4,1,23
AK_31,4,2,9
AK_31,4,3,5
AK_31,4,4,12
AK_34,5,1,16
AK_34,5,2,25
AK_34,5,3,27
AK_34,5,4,13
AK_34,5,5,10
AK_40,3,1,6
AK_40,3,2,15
AK_40,3,3,11
AK_45,9,1,7
AK_45,9,2,4
AK_45,9,3,17
AK_45,9,4,9
AK_45,9,5,45
AK_45,9,6,6
AK_45,9,7,1
AK_45,9,8,6
AK_45,9,9,23
AK_48,4,1,5
AK_48,4,2,24
AK_48,4,3,15
AK_48,4,4,27
AK_51,3,1,16
AK_51,3,2,8
AK_51,3,3,21
AK_55,5,1,5
AK_55,5,2,4
AK_55,5,3,11
AK_55,5,4,7
AK_55,5,5,47
AK_56,3,1,4
AK_56,3,2,5
AK_56,3,3,9
AK_58,2,1,52
AK_58,2,2,27
AK_62,4,1,14
AK_62,4,2,20
AK_62,4,3,45
AK_62,4,4,48
AK_64,4,1,1
AK_64,4,2,3
AK_64,4,3,1
AK_64,4,4,4
AK_65,5,1,6
AK_65,5,2,13
AK_65,5,3,3
AK_65,5,4,6
AK_65,5,5,3
AK_66,5,1,13
AK_66,5,2,7
AK_66,5,3,1
AK_66,5,4,1
AK_66,5,5,28
AK_69,6,1,10
AK_69,6,2,6
AK_69,6,3,11
AK_69,6,4,10
AK_69,6,5,8
AK_69,6,6,41
AK_75,3,1,17
AK_75,3,2,28
AK_75,3,3,11
AK_77,6,1,9
AK_77,6,2,6
AK_77,6,3,21
AK_77,6,4,4
AK_77,6,5,5
AK_77,6,6,30
AK_81,8,1,5
AK_81,8,2,6
AK_81,8,3,9
AK_81,8,4,21
AK_81,8,5,5
AK_81,8,6,7
AK_81,8,7,4
AK_81,8,8,42
AK_83,4,1,8
AK_83,4,2,6
AK_83,4,3,4
AK_83,4,4,4
AK_85,3,1,9
AK_85,3,2,4
AK_85,3,3,5
