OT_01,3,1,14
OT_01,3,2,30
OT_01,3,3,2
OT_02,3,1,23
OT_02,3,2,19
OT_02,3,3,5
OT_08,3,1,20
OT_08,3,2,4
OT_08,3,3,7
OT_11,3,1,32
OT_11,3,2,13
OT_11,3,3,14
OT_12,3,1,4
OT_12,3,2,8
OT_12,3,3,16
OT_16,3,1,2
OT_16,3,2,17
OT_16,3,3,5
OT_18,3,1,8
OT_18,3,2,13
OT_18,3,3,83
OT_34,3,1,35
OT_34,3,2,7
OT_34,3,3,27
OT_38,3,1,21
OT_38,3,2,2
OT_38,3,3,16
OT_26,3,1,3
OT_26,3,2,29
OT_26,3,3,47
OT_07,3,1,21
OT_07,3,2,7
OT_07,3,3,54
OT_13,3,1,2
OT_13,3,2,31
OT_13,3,3,32
OT_32,3,1,18
OT_32,3,2,2
OT_32,3,3,26
OT_09,4,1,5
OT_09,4,2,11
OT_09,4,3,26
OT_09,4,4,17
OT_30,3,1,35
OT_30,3,2,11
OT_30,3,3,11
OT_06,4,1,5
OT_06,4,2,19
OT_06,4,3,15
OT_06,4,4,61
OT_24,4,1,6
OT_24,4,2,6
OT_24,4,3,2
OT_24,4,4,9
OT_27,5,1,3
OT_27,5,2,51
OT_27,5,3,4
OT_27,5,4,160
OT_27,5,5,4
OT_17,5,1,7
OT_17,5,2,7
OT_17,5,3,2
OT_17,5,4,28
OT_17,5,5,6
OT_25,5,1,1
OT_25,5,2,39
OT_25,5,3,1
OT_25,5,4,91
OT_25,5,5,5
OT_10,6,1,2
OT_10,6,2,23
OT_10,6,3,4
OT_10,6,4,64
OT_10,6,5,16
OT_10,6,6,7
OT_26,6,1,51
OT_26,6,2,1
OT_26,6,3,22
OT_26,6,4,5
OT_26,6,5,66
OT_26,6,6,3
OT_14,4,1,19
OT_14,4,2,43
OT_14,4,3,36
OT_14,4,4,27
OT_35,6,1,11
OT_35,6,2,6
OT_35,6,3,5
OT_35,6,4,2
OT_35,6,5,79
OT_35,6,6,12
OT_46,7,1,34
OT_46,7,2,13
OT_46,7,3,3
OT_46,7,4,15
OT_46,7,5,4
OT_46,7,6,30
OT_46,7,7,9
CP_03,5,1,8
CP_03,5,2,15
CP_03,5,3,1
CP_03,5,4,23
CP_03,5,5,8
CP_13,7,1,6
CP_13,7,2,9
CP_13,7,3,18
CP_13,7,4,7
CP_13,7,5,8
CP_13,7,6,1
CP_13,7,7,6
CP_17,5,1,10
CP_17,5,2,19
CP_17,5,3,13
CP_17,5,4,2
CP_17,5,5,16
CP_20,3,1,16
CP_20,3,2,13
CP_20,3,3,115
CP_32,3,1,9
CP_32,3,2,13
CP_32,3,3,9
CP_37,3,1,12
CP_37,3,2,14
CP_37,3,3,12
CP_45,3,1,4
CP_45,3,2,21
CP_45,3,3,17
CP_52,3,1,2
CP_52,3,2,5
CP_52,3,3,207
CP_65,3,1,25
CP_65,3,2,8
CP_65,3,3,202
CP_74,3,1,82
CP_74,3,2,2
CP_74,3,3,14
CP_83,3,1,181
CP_83,3,2,5
CP_83,3,3,217
CP_30,4,1,36
CP_30,4,2,8
CP_30,4,3,34
CP_30,4,4,119
CP_41,4,1,20
CP_41,4,2,31
CP_41,4,3,15
CP_41,4,4,6
CP_59,4,1,14
CP_59,4,2,9
CP_59,4,3,11
CP_59,4,4,5
CP_81,4,1,10
CP_81,4,2,6
CP_81,4,3,3
CP_81,4,4,24
CP_69,5,1,7
CP_69,5,2,43
CP_69,5,3,32
CP_69,5,4,9
CP_69,5,5,12
CP_77,5,1,12
CP_77,5,2,4
CP_77,5,3,31
CP_77,5,4,126
CP_77,5,5,10
CP_79,5,1,5
CP_79,5,2,2
CP_79,5,3,4
CP_79,5,4,3
CP_79,5,5,5
CP_86,5,1,1
CP_86,5,2,22
CP_86,5,3,2
CP_86,5,4,179
CP_86,5,5,5
CP_47,6,1,7
CP_47,6,2,1
CP_47,6,3,6
CP_47,6,4,7
CP_47,6,5,4
CP_47,6,6,1
CP_85,6,1,1
CP_85,6,2,3
CP_85,6,3,3
CP_85,6,4,27
CP_85,6,5,2
CP_85,6,6,11
CP_26,7,1,6
CP_26,7,2,17
CP_26,7,3,225
CP_26,7,4,10
CP_26,7,5,2
CP_26,7,6,4
CP_26,7,7,23
CP_25,8,1,4
CP_25,8,2,7
CP_25,8,3,3
CP_25,8,4,14
CP_25,8,5,6
CP_25,8,6,157
CP_25,8,7,7
CP_25,8,8,183
CP_55,8,1,2
CP_55,8,2,6
CP_55,8,3,10
CP_55,8,4,1
CP_55,8,5,18
CP_55,8,6,3
CP_55,8,7,12
CP_55,8,8,15
CP_61,9,1,11
CP_61,9,2,2
CP_61,9,3,1
CP_61,9,4,10
CP_61,9,5,24
CP_61,9,6,4
CP_61,9,7,83
CP_61,9,8,58
CP_61,9,9,77
MM_2,5,1,10
MM_2,5,2,5
MM_2,5,3,17
MM_2,5,4,7
MM_2,5,5,39
MM_3,4,1,3
MM_3,4,2,25
MM_3,4,3,13
MM_3,4,4,35
MM_6,3,1,23
MM_6,3,2,8
MM_6,3,3,19
MM_13,5,1,12
MM_13,5,2,5
MM_13,5,3,9
MM_13,5,4,10
MM_13,5,5,3
MM_16,5,1,14
MM_16,5,2,7
MM_16,5,3,2
MM_16,5,4,21
MM_16,5,5,2
